Overall_Obligation_Period,ECO_Supplier_Reference,Obligation_Category,Measure_Type,Measure_Reference_Number,Purpose_of_Notification,Associated_Measure,Associated_Measure_Reference_Number,Date_of_Completed_Installation,Building_Number,Building_Name,Flat_Name/Number,Street_Name,Town,Post_Code,Unique_Property_Reference_Number_(UPRN),LSOA/DZ_Code,Low_Income,Adjoining_Installation,Adjoining_LSOA/DZ_Code,Rural_Area,Rural_Sub_Obligation,Affordable_Warmth_Group,AWG_Verification_Method,ESAS_Reference_Number,Private_Domestic_Premises,Tenure,Property_Type,Scoring_Method,Name_&_Version_Of_Scoring_Tool_Used,Appropriate_Methodology_ID,Annual_Carbon_Saving_(TCO2),Annual_Cost_Saving_(£),Lifetime_(yrs),In-Use_Factor,Carbon_Score_(TCO2),Cost_Score_(£),Primary_Eligibility,Evidence_of_Lifetime_for_Wall_Insulation,HTTC_Qualification,Boiler_or_ESH_Warranty,Adequate_Roof_or_Wall_Insulation,Pre_Main_Heating_Source_for_the_Property,Recommended_Measure,Pre_Installation_EPC_RRN,Post_Installation_EPC_RRN,Green_Deal_Advice_Report_URN,Brokerage,Brokerage_Lot_Number,Installed_In_Accordance_with_PAS?,Measure_Carried_Out_As_Part_Of_A_Green_Deal_Plan,Green_Deal_Plan_Reference_Number,Green_Deal_Provider_Registration_ID,Floor_Area,Percentage_of_Measure_Installed,HHCRO_Multiplier,Post_Main_Heating_Source_for_the_Property,Installer_Name,DWP_Reference_Number,Wall_Guarantee,HHCRO_Eligibility,LA_Criteria,LA_Declaration_Reference_Number,PAS_Certification_Number,Percentage_Of_Property_Treated
ECO 2,FFF03782443E,CERO,UFI,FFF6521001,Edited Notification,N/A,N/A,09/05/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.44,44,2,21,4,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,187.24,74,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF2725991,Edited Notification,N/A,N/A,17/04/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Det_3+,DS,NES ECO Online 2.0,N/A,0.7,70,3,33,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239.58,86,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF6979132,Edited Notification,N/A,N/A,11/11/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.12,13,1,6,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,124.65,60,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF1232275,Edited Notification,N/A,N/A,26/01/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Det_4,DS,NES ECO Online 2.0,N/A,0.55,55,2,26,5,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,209.71,79,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF5485416,Edited Notification,N/A,N/A,15/03/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.97,97,3,46,9,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,294.77,98,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF9738558,Edited Notification,N/A,N/A,05/11/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Semi_3,DS,NES ECO Online 2.0,N/A,0.4,40,2,19,4,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,179.83,72,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF3991700,Edited Notification,N/A,N/A,19/12/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.82,82,3,39,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264.9,92,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF8244842,Edited Notification,N/A,N/A,15/08/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,End-terrace_1,DS,NES ECO Online 2.0,N/A,0.25,25,1,12,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,149.96,66,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF2497984,Edited Notification,N/A,N/A,24/09/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Maisonette,DS,NES ECO Online 2.0,N/A,0.68,67,3,32,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.02,85,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF6751126,Edited Notification,N/A,N/A,25/05/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,3W_Flat_1,DS,NES ECO Online 2.0,N/A,0.1,10,1,5,1,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120.09,59,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
