timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1539170105251,24367,ExternalSiteTest,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-21,,true,,908765,465694,100,100,null,0,51274,0
1539170105251,5579,Login,200,OK,Thread Group 1-21,text,true,,62157,24118,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Error.html?aspxerrorpath=/Logon/,720,0,142
1539170111934,4097,NavigateToHomePage,200,OK,Thread Group 1-21,text,true,,799516,124294,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/,114,0,56
1539170124741,13268,NavigateToUploadPage,200,OK,Thread Group 1-21,text,true,,15758,102193,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,4863,0,2518
1539170171347,372,SingleMeasureFileUpload,200,OK,Thread Group 1-21,text,true,,15875,108002,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,108,0,67
1539170172875,583,UploadCount,200,OK,Thread Group 1-21,text,true,,14918,102408,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/UploadComplete?ECO3FileMappingID=15785&ErrorCount=2&SuccessCount=0&CompleteCount=2,31,0,0
1539170180422,468,DowloadErrorFile,200,OK,Thread Group 1-21,text,true,,541,4679,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/DownloadError?ECO1ID=0&ECO3ID=15785&ECO2ID=0,468,0,153
1539170105304,24771,ExternalSiteTest,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-83,,true,,469442,465710,99,99,null,0,51287,0
1539170105305,5617,Login,200,OK,Thread Group 1-83,text,true,,58272,24118,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Error.html?aspxerrorpath=/Logon/,2855,0,467
1539170112026,6332,NavigateToHomePage,200,OK,Thread Group 1-83,text,true,,364078,124294,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/,153,0,36
1539170127068,11315,NavigateToUploadPage,200,OK,Thread Group 1-83,text,true,,15758,102193,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,3645,0,1891
1539170171722,426,SingleMeasureFileUpload,200,OK,Thread Group 1-83,text,true,,15875,108018,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,68,0,31
1539170173304,656,UploadCount,200,OK,Thread Group 1-83,text,true,,14918,102408,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/UploadComplete?ECO3FileMappingID=15785&ErrorCount=2&SuccessCount=0&CompleteCount=2,41,0,0
1539170180935,425,DowloadErrorFile,200,OK,Thread Group 1-83,text,true,,541,4679,99,99,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/DownloadError?ECO1ID=0&ECO3ID=15785&ECO2ID=0,425,0,143
1539170105268,25574,ExternalSiteTest,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-37,,true,,469442,465696,98,98,null,0,51332,0
1539170105269,5681,Login,200,OK,Thread Group 1-37,text,true,,58272,24118,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Error.html?aspxerrorpath=/Logon/,1169,0,236
1539170112054,4844,NavigateToHomePage,200,OK,Thread Group 1-37,text,true,,364078,124294,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/,128,0,80
1539170125608,13002,NavigateToUploadPage,200,OK,Thread Group 1-37,text,true,,15758,102193,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,4313,0,2072
1539170171955,749,SingleMeasureFileUpload,200,OK,Thread Group 1-37,text,true,,15875,108004,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,199,0,59
1539170173870,687,UploadCount,200,OK,Thread Group 1-37,text,true,,14918,102408,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/UploadComplete?ECO3FileMappingID=15785&ErrorCount=2&SuccessCount=0&CompleteCount=2,99,0,0
1539170181560,611,DowloadErrorFile,200,OK,Thread Group 1-37,text,true,,541,4679,98,98,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/DownloadError?ECO1ID=0&ECO3ID=15785&ECO2ID=0,611,0,204
1539170105304,25681,ExternalSiteTest,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-84,,true,,469442,465714,97,97,null,0,51283,0
1539170105305,5654,Login,200,OK,Thread Group 1-84,text,true,,58272,24118,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Error.html?aspxerrorpath=/Logon/,2814,0,461
1539170112061,5771,NavigateToHomePage,200,OK,Thread Group 1-84,text,true,,364078,124294,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/,199,0,93
1539170126541,12143,NavigateToUploadPage,200,OK,Thread Group 1-84,text,true,,15758,102193,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,3725,0,1893
1539170172033,682,SingleMeasureFileUpload,200,OK,Thread Group 1-84,text,true,,15875,108022,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,197,0,34
1539170173871,814,UploadCount,200,OK,Thread Group 1-84,text,true,,14918,102408,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/UploadComplete?ECO3FileMappingID=15785&ErrorCount=2&SuccessCount=0&CompleteCount=2,98,0,0
1539170181649,617,DowloadErrorFile,200,OK,Thread Group 1-84,text,true,,541,4679,97,97,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/DownloadError?ECO1ID=0&ECO3ID=15785&ECO2ID=0,617,0,465
1539170105300,25892,ExternalSiteTest,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-77,,true,,469442,465710,96,96,null,0,51364,0
1539170105300,5596,Login,200,OK,Thread Group 1-77,text,true,,58272,24118,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Error.html?aspxerrorpath=/Logon/,2665,0,431
1539170111999,4027,NavigateToHomePage,200,OK,Thread Group 1-77,text,true,,364078,124294,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/,168,0,47
1539170124736,13821,NavigateToUploadPage,200,OK,Thread Group 1-77,text,true,,15758,102193,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,4856,0,2512
1539170171905,729,SingleMeasureFileUpload,200,OK,Thread Group 1-77,text,true,,15875,108018,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,147,0,22
1539170173870,960,UploadCount,200,OK,Thread Group 1-77,text,true,,14918,102408,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/UploadComplete?ECO3FileMappingID=15785&ErrorCount=2&SuccessCount=0&CompleteCount=2,99,0,0
1539170181795,759,DowloadErrorFile,200,OK,Thread Group 1-77,text,true,,541,4679,96,96,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload/DownloadError?ECO1ID=0&ECO3ID=15785&ECO2ID=0,759,0,396
1539170105305,27774,ExternalSiteTest,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-85,,true,,469442,465712,95,95,null,0,51274,0
1539170105306,5647,Login,200,OK,Thread Group 1-85,text,true,,58272,24118,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Error.html?aspxerrorpath=/Logon/,2920,0,479
1539170112056,6421,NavigateToHomePage,200,OK,Thread Group 1-85,text,true,,364078,124294,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/,126,0,88
1539170127186,13124,NavigateToUploadPage,200,OK,Thread Group 1-85,text,true,,15758,102193,100,100,http://ext-web-qaa-eco.dev.corp.ofgem.gov.uk/Upload,3559,0,1785
